model,model_slug,detection_accuracy,detection_precision,detection_recall_tpr,detection_specificity_tnr,detection_f1,detection_balanced_accuracy,detection_auroc,detection_average_precision,localization_expected_forged,localization_result_valid,localization_strict_misses,localization_overlap_accuracy,localization_iou_at_0_1,localization_iou_at_0_25,localization_iou_at_0_5,localization_pixel_macro_iou,localization_pixel_micro_iou
GPT-5.6 Luna,gpt_5_6_luna,0.329,0.9247311827956989,0.11466666666666667,0.972,0.2040332147093713,0.5433333333333333,0.6516746666666667,0.8338278905426766,750,749,680,0.06133333333333333,0.058666666666666666,0.05466666666666667,0.02666666666666667,0.03373271079541425,0.002776382903557093
Qwen 3.7 Plus,qwen_3_7_plus,0.291,0.8727272727272727,0.064,0.972,0.11925465838509317,0.518,0.5234373333333334,0.7596568355791739,750,749,707,0.036,0.03333333333333333,0.030666666666666665,0.012,0.01850853680382997,0.0019169664470633514
Claude Opus 4.8,claude_opus_4_8,0.54,0.953125,0.4066666666666667,0.94,0.5700934579439252,0.6733333333333333,0.701184,0.8763893346749122,750,750,422,0.4026666666666667,0.392,0.3453333333333333,0.16,0.15743792848941524,0.02931555208456037
Doubao Seed 2.1 Pro 260628,doubao_seed_2_1_pro_260628,0.39,0.8888888888888888,0.21333333333333335,0.92,0.34408602150537637,0.5666666666666667,0.6114160000000001,0.8109014172111212,750,750,683,0.076,0.07466666666666667,0.07066666666666667,0.028,0.042859712910080595,0.005099888755850608
